Date,High,Low,Open,Status,DateTime,year,month,day,30d_avg,Std,RSI,Williams %R
1/2/2011,143.0,143.0,143.0,1,2011-01-02,2011,1,2,,,,
1/3/2011,136.0,136.0,136.0,-1,2011-01-03,2011,1,3,,,,
1/4/2011,137.0,137.0,137.0,1,2011-01-04,2011,1,4,,,,
1/5/2011,139.0,139.0,139.0,1,2011-01-05,2011,1,5,,,,
1/6/2011,132.0,132.0,132.0,-1,2011-01-06,2011,1,6,,,,
1/9/2011,140.0,140.0,140.0,1,2011-01-09,2011,1,9,,,,
1/10/2011,139.0,139.0,139.0,-1,2011-01-10,2011,1,10,,,,-36.36363636363637
1/11/2011,141.0,141.0,141.0,1,2011-01-11,2011,1,11,,,,-0.0
1/12/2011,142.0,142.0,142.0,1,2011-01-12,2011,1,12,,,,-0.0
1/13/2011,141.0,141.0,141.0,-1,2011-01-13,2011,1,13,,,,-10.0
1/16/2011,138.0,138.0,138.0,-1,2011-01-16,2011,1,16,,,,-40.0
1/17/2011,136.0,136.0,136.0,-1,2011-01-17,2011,1,17,,,,-100.0
1/18/2011,135.0,135.0,135.0,-1,2011-01-18,2011,1,18,,,,-99.99999999999999
1/19/2011,135.0,135.0,135.0,0,2011-01-19,2011,1,19,,,,-99.99999999999999
1/20/2011,135.0,135.0,135.0,0,2011-01-20,2011,1,20,,,38.88888888888889,-99.99999999999999
1/23/2011,135.0,135.0,135.0,0,2011-01-23,2011,1,23,,,38.88888888888889,-100.0
1/24/2011,137.0,137.0,137.0,1,2011-01-24,2011,1,24,,,42.58801729462632,-33.333333333333336
1/31/2011,143.0,143.0,143.0,1,2011-01-31,2011,1,31,,,51.97909629217502,-0.0
2/1/2011,143.0,143.0,143.0,0,2011-02-01,2011,2,1,,,51.97909629217502,-0.0
2/2/2011,141.0,141.0,141.0,-1,2011-02-02,2011,2,2,,,48.88765993454767,-25.0
2/3/2011,137.0,137.0,137.0,-1,2011-02-03,2011,2,3,,,43.33631465032471,-75.0
2/6/2011,140.0,140.0,140.0,1,2011-02-06,2011,2,6,,,48.09667789804779,-37.5
2/7/2011,139.0,139.0,139.0,-1,2011-02-07,2011,2,7,,,46.68865389703917,-66.66666666666667
2/8/2011,141.0,141.0,141.0,1,2011-02-08,2011,2,8,,,49.8507433848077,-33.333333333333336
2/9/2011,143.0,143.0,143.0,1,2011-02-09,2011,2,9,,,52.861756105930155,-0.0
2/10/2011,145.0,145.0,145.0,1,2011-02-10,2011,2,10,,,55.724585141289715,-0.0
2/13/2011,142.0,142.0,142.0,-1,2011-02-13,2011,2,13,,,50.74606437869621,-37.5
